node_id	parent_node_id	Gene symbol	Class	Subclass	Species	n.node	n.node_child	sum	freq	denominator
narB	IONOPHORE	narB	IONOPHORE	MADURAMICIN/NARASIN/SALINOMYCIN	Listeria monocytogenes	14	0	14	4.813808754255063e-4	29083
vga(G)	vga	vga(G)	LINCOSAMIDE	LINCOSAMIDE	Listeria monocytogenes_B;Salmonella enterica	14	0	14	0.9333333333333333	15
blaTEM	bla-A	blaTEM	BETA-LACTAM	BETA-LACTAM	Listeria monocytogenes_B	3	11	14	4.676331084240764e-4	29938
fosX_gen	NA	NA	NA	NA	Listeria monocytogenes_B;Salmonella enterica	0	14	14	0.9333333333333333	15
vga	NA	NA	NA	NA	Listeria monocytogenes_B;Salmonella enterica	0	14	14	0.9333333333333333	15
fexA	MFS_efflux_CHL	fexA	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	Listeria monocytogenes_B	13	0	13	4.342307435366424e-4	29938
MFS_efflux_CHL	NA	NA	NA	NA	Listeria monocytogenes_B	0	13	13	4.342307435366424e-4	29938
erm-23S_rRNA	NA	NA	NA	NA	Listeria monocytogenes_B	0	13	13	4.342307435366424e-4	29938
catA8	catA	catA	PHENICOL	CHLORAMPHENICOL	Listeria monocytogenes	12	0	12	4.1261217893614826e-4	29083
vga(G)	vga	vga	LINCOSAMIDE	LINCOSAMIDE	Listeria marthii	12	0	12	0.36363636363636365	33
vga	NA	NA	NA	NA	Listeria marthii	0	12	12	0.36363636363636365	33
fosX	fosX_gen	fosX	FOSFOMYCIN	FOSFOMYCIN	Listeria cossartiae	11	0	11	1	11
